Accession,Description,trt,measurement
AT1G01090,| Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428,2,16.359
AT1G01090,| Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428,2,14.637
AT1G01090,| Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428,2,11.193
AT1G01090,| Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428,6,26
AT1G01090,| Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428,6,18
AT1G01090,| Symbols: PDH-E1 ALPHA | pyruvate dehydrogenase E1 alpha | chr1:47705-49166 REVERSE LENGTH=428,6,23
AT1G01300,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485,2,10.332
AT1G01300,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485,2,8.61
AT1G01300,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485,2,9.471
AT1G01300,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485,6,7
AT1G01300,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485,6,7
AT1G01300,| Symbols:  | Eukaryotic aspartyl protease family protein | chr1:117065-118522 FORWARD LENGTH=485,6,6
AT1G01620,| Symbols: PIP1C  TMP-B  PIP1;3 | plasma membrane intrinsic protein 1C | chr1:225986-227176 REVERSE LENGTH=286,2,12.915
AT1G01620,| Symbols: PIP1C  TMP-B  PIP1;3 | plasma membrane intrinsic protein 1C | chr1:225986-227176 REVERSE LENGTH=286,2,17.22
